confirmedCount,curedCount,deadCount,emergency,name,notes,provinceName,provinceShortName,restriction_order,sos,state_official_link
4043,0,119,2020-03-09,俄亥俄,Consistent (4/5 2:00pm CT),Ohio,OH,"Stay-at-home order, effective 11:59 p.m. Mar. 23",https://odh.ohio.gov/wps/portal/gov/odh/know-our-programs/Novel-Coronavirus/2019-nCoV \n\n833-427-5634 (9 a.m. to 8 p.m.),https://odh.ohio.gov/wps/portal/gov/odh/know-our-programs/Novel-Coronavirus/2019-nCoV
3633,248,53,2020-03-12,田纳西,"(3/29 1pm PT) Our data has more confirmed case in Shelby County, Davidson County than TN official website.",Tennessee,TN,"Stay-at-home order, the order takes effect at 11:59 p.m. Tuesday and lasts through April 14.",https://www.tn.gov/health/cedep/ncov.html \n\n877-857-2945,https://www.tn.gov/health/cedep/ncov.html
2686,118,41,2020-03-10,北卡罗莱纳,"The NC State Official Site is based on CDC data, which is significantly delayed. The local news contributes the most with updated data, we follow all the local reports with sources.",North Carolina,NC,"Stay at home order, enforcement begins at 5 PM on Monday, March 30",https://www.ncdhhs.gov/divisions/public-health/coronavirus-disease-2019-covid-19-response-north-carolina\n\nNC Department of Health and Human Services 1-800-992-9457 ,https://www.ncdhhs.gov/covid-19-case-count-nc
2640,2,52,2020-03-12,弗吉尼亚,"There 1 case in Bedford with detailed information reported by the local media, but not included in the VA Official Site. (3/28 9AM PST).",Virginia,VA,"Stay-at-home order, effective on Mar. 30th", http://vdh.virginia.gov/coronavirus or 877-ASK-VDH3,http://www.vdh.virginia.gov/surveillance-and-investigation/novel-coronavirus/
2464,68,52,2020-03-13,密苏里,Consistent(4/5 10pm PDT). We have more cases from the County officials. ,Missouri,MO,"Stay-At-Home Order effect on Monday, April 6",,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/
2320,1,75,2020-03-12,威斯康星,(4/1 4:00 CT) Our data have 5 more than official.,Wisconsin,WI,"Stay-at-home order, effective Mar 24.",,https://www.dhs.wisconsin.gov/outbreaks/index.htm
2269,3,64,2020-03-11,亚利桑那,Consistent (3/27 10am PT),Arizona,AZ,The stay-at-home order will go in effect Tuesday March 31 at 5 p.m. and last through April 30.,https://www.azdhs.gov/\n,https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home
2049,0,44,2020-03-13,南卡罗莱纳,Consistent(4/3 4:40 CT),South Carolina,SC,,https://scdhec.gov/health/infectious-diseases/viruses/coronavirus-disease-2019-covid-19/monitoring-testing-covid-19 \n\n855-472-3432.,https://scdhec.gov/health/infectious-diseases/viruses/coronavirus-disease-2019-covid-19/monitoring-testing-covid-19
1841,0,45,2020-03-13,阿拉巴马,Cases Consistent (4/1 4pmPDT)，but 1  death unassigned.,Alabama,AL,Stay at home,https://www.alabamapublichealth.gov/infectiousdiseases/2019-coronavirus.html\n,https://www.alabamapublichealth.gov/infectiousdiseases/2019-coronavirus.html
1836,36,46,2020-03-12,内华达,Consistent (3/26 5:30pm PT),Nevada,NV,Nevada governor extends Stay-At-Home directive until April 30.,,https://app.powerbigov.us/view?r=eyJrIjoiMjA2ZThiOWUtM2FlNS00MGY5LWFmYjUtNmQwNTQ3Nzg5N2I2IiwidCI6ImU0YTM0MGU2LWI4OWUtNGU2OC04ZWFhLTE1NDRkMjcwMzk4MCJ9
1638,0,43,2020-03-14,密西西比,Consistent (3/27 9:50am PT),Mississippi,MS,"stay-at-home order begins on Friday, April 3, at 5 p.m",,"https://msdh.ms.gov/msdhsite/_static/14,0,420.html"
1605,11,8,2020-03-07,犹他,"(4/4 Consistent, state showed Bear River district 27, but Bear River public health showed 26, 1 was put in Unassigned Bear River. )      Consistent (3/28 11pm PT).  one more confirmed in Box Elder and one more death from Southwest Utah county official, than state.          Uintah, Duchesne and Daggett counties are included in TriCounty.Z",Utah,UT,,https://coronavirus.utah.gov/ \n\n900-456-7707,https://coronavirus.utah.gov/case-counts/
1254,383,46,2020-03-15,俄克拉荷马,Consistent (4/5 11AM PST),Oklahoma,OK,,https://www.okc.gov/Home/Components/News/News/3287/5296,https://coronavirus.health.ok.gov/
1101,0,10,2020-03-13,爱达荷,"(3/27 6:28pm PT) ID state total 230, our data is more up to date and have 233 in total. 3 more, 1 in Gem, 1 in Lincoln and 1 in Ada.",Idaho,ID,"stay-home order, effective March 25, Friday at 11:59 p.m.",https://coronavirus.idaho.gov/\nCall 2-1-1 or your local public health district with questions.,https://coronavirus.idaho.gov/
1068,0,27,2020-03-08,俄勒冈,Consistent (3/27 9:30 pm EST),Oregon,OR,"Stay-at-home order, effective on March 23rd.",https://www.oregon.gov/oha/\n211,https://www.oregon.gov/oha/PH/DISEASESCONDITIONS/DISEASESAZ/Pages/emerging-respiratory-infections.aspx
1002,258,22,2020-03-11,华盛顿特区,Consistent (3/28 5:50pm PT),"Washington, D.C.",DC,"STAY HOME order, effective at 10 pm tonight (Wednesday, March 25)",,https://coronavirus.dc.gov/page/coronavirus-data
955,306,45,2020-03-06,肯塔基,Consistent (3/31 9:40 pm CT),Kentucky,KY,Close all non-life-sustaining businesses to in-person traffic by March 25th at 8 p.m.,https://kycovid19.ky.gov/\n(800) 722-5725,https://chfs.ky.gov/agencies/dph/pages/covid19.aspx
935,451,29,2020-03-13,明尼苏达,Consistent(3/28 11:45 AM PT),Minnesota,MN,"Stay at home for two weeks, starting Friday night.(March 27th)",https://www.health.state.mn.us/diseases/coronavirus/situation.html\n\nMN Coronavirus Hotline: 651-201-3920,https://www.health.state.mn.us/diseases/coronavirus/situation.html
922,0,25,2020-03-09,罗德岛,Consistent (3/27 11:00pm PT),Rhode Island,RI,"Stay-at-home order, effective on Mar. 30th",https://health.ri.gov/data/covid-19/\n401-222-8022,https://health.ri.gov/data/covid-19/
869,3,22,2020-03-09,爱荷华,"Consistent (3/31 1pm PDT). Two confirmed cases are unassigned to county, 1 death case as well.",Iowa,IA,,https://idph.iowa.gov/emerging-health-issues/novel-coronavirus\n\nPlease call 211 for general questions.,https://idph.iowa.gov/emerging-health-issues/novel-coronavirus
854,102,16,2020-03-11,阿肯色,Consistent (3/28 3:12pm EST),Arkansas,AR,,https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus\n1-800-803-7847\n,https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus
673,71,14,2020-03-12,特拉华,Consistent (3/28 3:30pm PT),Delaware,DE,"Stay-at-home order, effective 8am, March 24th",https://dhss.delaware.gov/dhss/dph/epi/2019novelcoronavirus.html\n\nDivision of Public Health Information Line at 1-866-408-1899,https://dhss.delaware.gov/dhss/dph/epi/2019novelcoronavirus.html
669,147,9,2020-03-13,新罕布什尔,Consistent (3/27 9:40 pm EPT)`,New Hampshire,NH,Stay at home order in NH effective March 27th 11:59 pm,https://www.nh.gov/covid19/\nCall 211. ,https://www.dhhs.nh.gov/dphs/cdcs/2019-ncov.htm
624,26,12,2020-03-11,新墨西哥,Consistent (3/28 4pm PT),New Mexico,NM,"stay-at-home, effective on Tuesday, March 24",http://cv.nmhealth.org/\nNew Mexico Department of Health Hotline: 1-855-600-3453,https://cv.nmhealth.org
567,4,22,2020-03-12,堪萨斯,"Consistent (4/5 11:30pm PDT). We have 1 more in Bourbon, 2 in Crawford, 1 in Lyon, 1 in Reno, 7 in Shawnee.",Kansas,KS,"stay-at-home order, effective March 30",,http://www.kdheks.gov/coronavirus/
513,0,21,2020-03-12,波多黎各,Consistent (3/27 9:30 pm PT),Puerto Rico,PR,Stay-at-home order on March 23,,http://www.salud.gov.pr/Pages/coronavirus.aspx
512,0,22,2020-03-13,佛蒙特,Consistent (3/28 11:30am PT),Vermont,VT,"“Stay Home, Stay Safe” order, effective March 25, 2020 at 5:00 p.m.",https://www.healthvermont.gov/response/infectious-disease/2019-novel-coronavirus \n\n802-863-7240,https://www.healthvermont.gov/response/infectious-disease/2019-novel-coronavirus
499,158,10,2020-03-15,缅因,Consistent (4/1 11:00AM EST),Maine,ME,,,https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus.shtml
371,72,4,2020-03-10,夏威夷,"We have two cases less than the HI website, because they are diagnosed outside of HI, should be counted in other states already.",Hawaii,HI,"Stay-at-home order, effective at 4:30 p.m, March 23rd","https://health.hawaii.gov/news/covid-19-updates/\n\nFor more information or questions about COVID-19, call 2-1-1 from any location in the state.",https://health.hawaii.gov/coronavirusdisease2019/
364,0,8,2020-03-13,内布拉斯加,Consistent(4/3 10 PDT).,Nebraska,NE,,http://dhhs.ne.gov/Pages/Coronavirus.aspx\n\nDHHS COVID-19 Information Line: (402) 552-6645,http://dhhs.ne.gov/Pages/Coronavirus.aspx
354,0,14,,纳瓦霍印第安保留地,"Navajo Nation case count from Navajo epidemiology health care system, the number separate from state, and reflect the Navajo Nation only.",Navajo Nation,NN,"Stay-at-home, started Mar 20th",,https://www.ndoh.navajo-nsn.gov/COVID-19/News-Update
345,0,3,2020-03-16,西弗吉尼亚,Consistent (3/27 9:30 pm PT),West Virginia,WV,"Stay-at-home order, effective Mar 24 8pm",https://dhhr.wv.gov/COVID-19/Pages/default.aspx \n\n800-887-4304,https://dhhr.wv.gov/COVID-19/Pages/default.aspx
299,32,6,2020-03-12,蒙大拿,Consistent (3/28 4:00pm PT),Montana,MT,"Stay-at-home order, effective on March 28.",,https://montana.maps.arcgis.com/apps/MapSeries/index.html?appid=7c34f3412536439491adcc2103421d4b
240,84,2,2020-03-13,南达科塔,Consistent (3/27 10:40 PT),South Dakota,SD,,https://doh.sd.gov/news/Coronavirus.aspx \n\n800-997-2880,https://doh.sd.gov/news/Coronavirus.aspx
207,63,3,2020-03-13,北达科塔,Consistent (3/28 4:00pm PT),North Dakota,ND,,https://www.health.nd.gov/diseases-conditions/coronavirus/coronavirus-public \n\n866-207-2880,https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases
200,50,0,2020-03-13,怀俄明,Consistent (4/5 3:50PM PT),Wyoming,WY,,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/ \n\n888-996-9104,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/
185,0,6,2020-03-11,阿拉斯加,Consistent (4/4 2pm PDT) ,Alaska,AK,"Orders that restrict in-state travel and Alaskans' public activities, effective on Mar. 28th",http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/default.aspx,http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/monitoring.aspx
113,25,4,,关岛,Consistent (3/22 6pm PT),Guam,GU,,,https://ghsocd.org/coronavirus-covid-19
103,0,3,,至尊公主号,,Grand Princess,Grand Princess,,,
49,0,0,,钻石公主号,CDC official website didn't take Case NO 89 into account.,Diamond Princess,Diamond Princess,,,https://www.cdc.gov/coronavirus/2019-ncov/cases-in-us.html
42,34,1,2020-03-13,美属维京群岛,Consistent (3/27 9:30 pm PT),US Virgin Islands,VI,,,https://doh.vi.gov/covid19usvi
8,24,1,2020-03-23,北马里亚纳群岛,https://www.chcc.gov.mp/coronavirusinformation.php,Northern Mariana Islands,MP,,,http://chcc.gov.mp/coronavirusinformation.php
4,0,0,,武汉撤侨,Consistent (3/17 10pm PT),Wuhan Evacuee,Wuhan Evacuee,,,https://www.cdc.gov/coronavirus/2019-ncov/cases-in-us.html
0,0,0,2020-03-20,萨摩亚群岛,,Samoa,WS,,,http://www.samoagovt.ws/2020/03/state-of-emergency-declared/
