confirmedCount,curedCount,deadCount,emergency,name,notes,provinceName,provinceShortName,restriction_order,sos,state_official_link
1486,2,35,2020-03-12,弗吉尼亚,"There 1 case in Bedford with detailed information reported by the local media, but not included in the VA Official Site. (3/28 9AM PST).",Virginia,VA,"Stay-at-home order, effective on Mar. 30th", http://vdh.virginia.gov/coronavirus or 877-ASK-VDH3,http://www.vdh.virginia.gov/surveillance-and-investigation/novel-coronavirus/
1413,3,29,2020-03-11,亚利桑那,Consistent (3/27 10am PT),Arizona,AZ,The stay-at-home order will go in effect Tuesday March 31 at 5 p.m. and last through April 30.,https://www.azdhs.gov/\n,https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home
1299,18,32,2020-03-12,内华达,Consistent (3/26 5:30pm PT),Nevada,NV,Nevada governor extends Stay-At-Home directive until April 30.,,https://app.powerbigov.us/view?r=eyJrIjoiMjA2ZThiOWUtM2FlNS00MGY5LWFmYjUtNmQwNTQ3Nzg5N2I2IiwidCI6ImU0YTM0MGU2LWI4OWUtNGU2OC04ZWFhLTE1NDRkMjcwMzk4MCJ9
1293,0,26,2020-03-13,南卡罗莱纳,"(3/27 5:30pm PT) Our table have a total of 542, 3 more than state total. Those 3 more cases reported in the local news on 3/26 afternoon, not count into the state total. 1 from Abbeville, 1 from Anderson and 1 from York.",South Carolina,SC,,https://scdhec.gov/health/infectious-diseases/viruses/coronavirus-disease-2019-covid-19/monitoring-testing-covid-19 \n\n855-472-3432.,https://scdhec.gov/health/infectious-diseases/viruses/coronavirus-disease-2019-covid-19/monitoring-testing-covid-19
1107,0,28,2020-03-13,阿拉巴马,Cases Consistent (4/1 4pmPDT)，but 1  death unassigned.,Alabama,AL,Stay at home,https://www.alabamapublichealth.gov/infectiousdiseases/2019-coronavirus.html\n,https://www.alabamapublichealth.gov/infectiousdiseases/2019-coronavirus.html
1073,0,22,2020-03-14,密西西比,Consistent (3/27 9:50am PT),Mississippi,MS,"stay-at-home order begins on Friday, April 3, at 5 p.m",,"https://msdh.ms.gov/msdhsite/_static/14,0,420.html"
1012,0,7,2020-03-07,犹他,"Consistent (3/28 11pm PT).  one more confirmed in Box Elder and one more death from Southwest Utah county official, than state.          Uintah, Duchesne and Daggett counties are included in TriCounty.Z",Utah,UT,,https://coronavirus.utah.gov/ \n\n900-456-7707,https://coronavirus.utah.gov/case-counts/
736,0,19,2020-03-08,俄勒冈,Consistent (3/27 9:30 pm EST),Oregon,OR,"Stay-at-home order, effective on March 23rd.",https://www.oregon.gov/oha/\n211,https://www.oregon.gov/oha/PH/DISEASESCONDITIONS/DISEASESAZ/Pages/emerging-respiratory-infections.aspx
721,1,30,2020-03-15,俄克拉荷马,Consistent (3/28 2pm PT),Oklahoma,OK,,https://www.okc.gov/Home/Components/News/News/3287/5296,https://coronavirus.health.ok.gov/
689,342,17,2020-03-13,明尼苏达,Consistent(3/28 11:45 AM PT),Minnesota,MN,"Stay at home for two weeks, starting Friday night.(March 27th)",https://www.health.state.mn.us/diseases/coronavirus/situation.html\n\nMN Coronavirus Hotline: 651-201-3920,https://www.health.state.mn.us/diseases/coronavirus/situation.html
687,64,20,2020-03-06,肯塔基,Consistent (3/31 9:40 pm CT),Kentucky,KY,Close all non-life-sustaining businesses to in-person traffic by March 25th at 8 p.m.,https://kycovid19.ky.gov/\n(800) 722-5725,https://chfs.ky.gov/agencies/dph/pages/covid19.aspx
669,0,9,2020-03-13,爱达荷,"(3/27 6:28pm PT) ID state total 230, our data is more up to date and have 233 in total. 3 more, 1 in Gem, 1 in Lincoln and 1 in Ada.",Idaho,ID,"stay-home order, effective March 25, Friday at 11:59 p.m.",https://coronavirus.idaho.gov/\nCall 2-1-1 or your local public health district with questions.,https://coronavirus.idaho.gov/
624,42,10,2020-03-11,阿肯色,Consistent (3/28 3:12pm EST),Arkansas,AR,,https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus\n1-800-803-7847\n,https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus
586,121,11,2020-03-11,华盛顿特区,Consistent (3/28 5:50pm PT),"Washington, D.C.",DC,"STAY HOME order, effective at 10 pm tonight (Wednesday, March 25)",,https://coronavirus.dc.gov/page/coronavirus-data
566,0,10,2020-03-09,罗德岛,Consistent (3/27 11:00pm PT),Rhode Island,RI,"Stay-at-home order, effective on Mar. 30th",https://health.ri.gov/data/covid-19/\n401-222-8022,https://health.ri.gov/data/covid-19/
552,3,9,2020-03-09,爱荷华,"Consistent (3/31 1pm PDT). Two confirmed cases are unassigned to county, 1 death case as well.",Iowa,IA,,https://idph.iowa.gov/emerging-health-issues/novel-coronavirus\n\nPlease call 211 for general questions.,https://idph.iowa.gov/emerging-health-issues/novel-coronavirus
495,0,10,2020-03-12,堪萨斯,"Consistent (3/31 8:30pm PDT). 3 more than state official, 1 in Clay, 4 in Lyon, 1 in Ford County,  and Ford 1 is out of state resident. ",Kansas,KS,"stay-at-home order, effective March 30",,http://www.kdheks.gov/coronavirus/
415,56,4,2020-03-13,新罕布什尔,Consistent (3/27 9:40 pm EPT)`,New Hampshire,NH,Stay at home order in NH effective March 27th 11:59 pm,https://www.nh.gov/covid19/\nCall 211. ,https://www.dhhs.nh.gov/dphs/cdcs/2019-ncov.htm
368,49,11,2020-03-12,特拉华,Consistent (3/28 3:30pm PT),Delaware,DE,"Stay-at-home order, effective 8am, March 24th",https://dhss.delaware.gov/dhss/dph/epi/2019novelcoronavirus.html\n\nDivision of Public Health Information Line at 1-866-408-1899,https://dhss.delaware.gov/dhss/dph/epi/2019novelcoronavirus.html
363,26,6,2020-03-11,新墨西哥,Consistent (3/28 4pm PT),New Mexico,NM,"stay-at-home, effective on Tuesday, March 24",http://cv.nmhealth.org/\nNew Mexico Department of Health Hotline: 1-855-600-3453,https://cv.nmhealth.org
344,68,7,2020-03-15,缅因,Consistent (4/1 11:00AM EST),Maine,ME,,,https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus.shtml
321,0,16,2020-03-13,佛蒙特,Consistent (3/28 11:30am PT),Vermont,VT,"“Stay Home, Stay Safe” order, effective March 25, 2020 at 5:00 p.m.",https://www.healthvermont.gov/response/infectious-disease/2019-novel-coronavirus \n\n802-863-7240,https://www.healthvermont.gov/response/infectious-disease/2019-novel-coronavirus
286,0,11,2020-03-12,波多黎各,Consistent (3/27 9:30 pm PT),Puerto Rico,PR,Stay-at-home order on March 23,,http://www.salud.gov.pr/Pages/coronavirus.aspx
256,49,1,2020-03-10,夏威夷,"We have two cases less than the HI website, because they are diagnosed outside of HI, should be counted in other states already.",Hawaii,HI,"Stay-at-home order, effective at 4:30 p.m, March 23rd","https://health.hawaii.gov/news/covid-19-updates/\n\nFor more information or questions about COVID-19, call 2-1-1 from any location in the state.",https://health.hawaii.gov/coronavirusdisease2019/
217,0,6,2020-03-12,蒙大拿,Consistent (3/28 4:00pm PT),Montana,MT,"Stay-at-home order, effective on March 28.",,https://montana.maps.arcgis.com/apps/MapSeries/index.html?appid=7c34f3412536439491adcc2103421d4b
214,0,4,2020-03-13,内布拉斯加,"not consistent(3/26 6pm PT), our table have 1 more in Douglas county .",Nebraska,NE,,http://dhhs.ne.gov/Pages/Coronavirus.aspx\n\nDHHS COVID-19 Information Line: (402) 552-6645,http://dhhs.ne.gov/Pages/Coronavirus.aspx
191,0,2,2020-03-16,西弗吉尼亚,Consistent (3/27 9:30 pm PT),West Virginia,WV,"Stay-at-home order, effective Mar 24 8pm",https://dhhr.wv.gov/COVID-19/Pages/default.aspx \n\n800-887-4304,https://dhhr.wv.gov/COVID-19/Pages/default.aspx
148,0,5,,纳瓦霍印第安保留地,,Navajo Nation,NN,,,http://www.ndoh.navajo-nsn.gov/COVID-19
147,39,3,2020-03-13,北达科塔,Consistent (3/28 4:00pm PT),North Dakota,ND,,https://www.health.nd.gov/diseases-conditions/coronavirus/coronavirus-public \n\n866-207-2880,https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases
143,0,3,2020-03-11,阿拉斯加,Consistent (3/28 1am CST) ,Alaska,AK,"Orders that restrict in-state travel and Alaskans' public activities, effective on Mar. 28th",http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/default.aspx,http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/monitoring.aspx
137,31,0,2020-03-13,怀俄明,Consistent (3/27 5:30pm PT),Wyoming,WY,,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/ \n\n888-996-9104,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/
129,51,2,2020-03-13,南达科塔,Consistent (3/27 10:40 PT),South Dakota,SD,,https://doh.sd.gov/news/Coronavirus.aspx \n\n800-997-2880,https://doh.sd.gov/news/Coronavirus.aspx
103,0,3,,至尊公主号,,Grand Princess,Grand Princess,,,
77,7,3,,关岛,Consistent (3/22 6pm PT),Guam,GU,,,https://ghsocd.org/coronavirus-covid-19
49,0,0,,钻石公主号,CDC official website didn't take Case NO 89 into account.,Diamond Princess,Diamond Princess,,,https://www.cdc.gov/coronavirus/2019-ncov/cases-in-us.html
30,21,0,2020-03-13,美属维京群岛,Consistent (3/27 9:30 pm PT),US Virgin Islands,VI,,,https://doh.vi.gov/covid19usvi
6,0,1,2020-03-23,北马里亚纳群岛,https://www.chcc.gov.mp/coronavirusinformation.php,Northern Mariana Islands,MP,,,http://chcc.gov.mp/coronavirusinformation.php
4,0,0,,武汉撤侨,Consistent (3/17 10pm PT),Wuhan Evacuee,Wuhan Evacuee,,,https://www.cdc.gov/coronavirus/2019-ncov/cases-in-us.html
0,0,0,2020-03-20,萨摩亚群岛,,Samoa,WS,,,http://www.samoagovt.ws/2020/03/state-of-emergency-declared/
